CustomerID,Recency,MonetaryValue,Frequency,Variety,Total_Score,Cluster
12346.0,326,37.44,1,1,4,4
12347.0,2,4015.21,182,103,16,3
12348.0,75,732.62,31,22,9,5
12349.0,19,1389.15,73,73,12,1
12350.0,310,302.9,17,17,6,2
12352.0,36,1436.44,85,59,12,1
12353.0,204,80.30000000000001,4,4,4,4
12354.0,232,1036.45,58,58,10,5
12355.0,214,343.0,13,13,5,2
12356.0,23,2294.78,59,53,13,1
12357.0,33,5593.41,131,131,15,3
12358.0,2,977.96,19,13,10,5
12359.0,58,4713.4,245,214,14,3
12360.0,52,2211.76,129,105,14,3
12361.0,287,183.4,10,10,4,4
12362.0,3,4906.74,266,201,16,3
12363.0,110,552.0,23,23,8,0
12364.0,8,1213.02,85,70,13,1
12365.0,291,324.94,22,22,7,0
12367.0,4,161.92,11,11,7,0
12370.0,51,3195.94,166,143,15,3
12371.0,45,1586.02,63,63,13,1
12372.0,72,1247.04,52,34,10,5
12373.0,311,333.1,14,14,5,2
12374.0,25,623.03,33,33,10,5
12375.0,11,394.5,17,14,8,0
12377.0,315,1561.46,77,72,11,1
12378.0,130,3872.62,219,219,14,3
12379.0,82,809.54,40,39,10,5
12380.0,22,2382.05,104,77,14,3
12381.0,5,1532.58,87,70,14,3
12383.0,185,1665.74,99,84,13,1
12384.0,29,445.22,27,26,9,5
12386.0,338,306.42,10,10,5,2
12388.0,16,2699.5,100,57,15,3
12390.0,80,507.64,32,32,8,0
12391.0,22,436.84000000000003,93,92,12,1
12393.0,72,1547.2,64,47,12,1
12394.0,64,773.92,27,26,9,5
12395.0,19,2524.23,156,91,15,3
12397.0,36,2203.87,126,110,15,3
12398.0,46,1485.36,85,85,14,3
12399.0,119,983.15,59,47,11,1
12401.0,303,66.85,5,5,4,4
12402.0,323,212.6,11,11,4,4
12403.0,50,392.1,5,5,7,0
12405.0,149,1444.5900000000001,54,54,10,5
12406.0,22,3251.58,105,92,15,3
12407.0,50,1476.17,77,57,13,1
12408.0,33,2558.23,105,81,15,3
12409.0,79,7704.2300000000005,109,91,14,3
12410.0,309,558.83,26,26,7,0
12412.0,75,1189.94,61,43,11,1
12413.0,67,694.4,38,29,9,5
12414.0,217,452.67,18,16,6,2
12415.0,24,47505.14,714,444,15,3
12417.0,3,3191.88,192,158,16,3
12418.0,113,666.88,34,34,9,5
12420.0,64,567.64,29,29,8,0
12421.0,16,682.19,45,32,12,1
12422.0,96,696.3100000000001,39,39,10,5
12423.0,1,1751.21,125,97,16,3
12424.0,163,1443.28,30,30,8,0
12425.0,78,733.7,36,36,10,5
12426.0,195,544.28,30,30,7,0
12427.0,22,713.94,31,26,10,5
12428.0,26,6478.93,294,258,15,3
12429.0,9,3365.0,97,82,15,3
12430.0,43,211.1,11,11,6,2
12431.0,36,5104.85,234,163,15,3
12432.0,43,3835.2400000000002,108,107,15,3
12433.0,1,11790.65,420,219,16,3
12434.0,85,803.6,50,46,11,1
12435.0,80,5254.0,36,31,10,5
12436.0,100,446.01000000000005,16,16,6,2
12437.0,2,4307.72,199,118,16,3
12438.0,14,2547.3,98,84,15,3
12441.0,367,164.05,11,11,4,4
12442.0,3,155.08,12,12,7,0
12444.0,21,3864.46,176,138,15,3
12445.0,22,94.4,4,4,6,2
12446.0,58,945.36,57,57,11,1
12447.0,243,454.09,26,26,7,0
12448.0,44,340.69,22,22,9,5
12449.0,22,3850.16,191,118,15,3
12450.0,156,191.28,8,7,4,4
12451.0,11,8330.79,354,265,16,3
12452.0,17,367.57,22,21,10,5
12453.0,134,707.09,43,43,11,1
12454.0,56,2078.68,15,15,8,0
12455.0,73,1945.72,90,85,13,1
12456.0,44,2627.98,125,105,15,3
12457.0,66,1808.71,62,53,12,1
12458.0,71,821.4,38,35,9,5
12461.0,94,675.98,35,35,9,5
12462.0,19,973.74,62,51,12,1
12463.0,53,1257.74,83,65,11,1
12464.0,10,773.5,29,6,10,5
12465.0,17,703.09,47,46,13,1
12468.0,188,675.89,38,36,9,5
12471.0,2,15415.58,459,150,16,3
12472.0,32,6137.89,339,219,15,3
12473.0,29,2731.48,167,140,15,3
12474.0,17,6932.16,422,253,16,3
12475.0,54,690.88,36,36,10,5
12476.0,16,5859.15,233,177,16,3
12477.0,23,11942.44,300,191,15,3
12478.0,4,571.49,36,36,11,1
12479.0,11,499.87,31,31,10,5
12480.0,28,2774.5,154,129,15,3
12481.0,23,4902.4,216,150,15,3
12483.0,17,2021.0600000000002,75,46,14,3
12484.0,33,4013.89,343,256,15,3
12488.0,10,1191.54,55,46,13,1
12489.0,336,292.33,15,15,5,2
12490.0,5,4943.93,245,131,16,3
12491.0,39,416.65000000000003,26,25,9,5
12492.0,63,244.21,20,19,7,0
12493.0,166,396.79,22,20,7,0
12494.0,16,1140.91,77,63,13,1
12497.0,82,422.54,14,14,6,2
12498.0,21,375.20000000000005,23,21,9,5
12500.0,23,2035.03,61,34,12,1
12501.0,337,2123.98,149,149,13,1
12502.0,96,2928.92,147,102,14,3
12504.0,18,417.0,9,6,8,0
12506.0,233,73.5,23,23,6,2
12507.0,134,664.77,21,19,9,5
12508.0,26,402.61,68,57,11,1
12509.0,284,167.0,7,7,4,4
12510.0,143,824.89,33,29,8,0
12512.0,66,132.18,31,31,7,0
12513.0,113,571.04,35,35,8,0
12514.0,267,980.38,51,51,10,5
12515.0,353,284.3,16,16,5,2
12516.0,78,997.3,26,20,9,5
12517.0,28,2385.15,279,232,15,3
12518.0,1,1937.0900000000001,124,84,16,3
12519.0,64,302.34,17,17,7,0
12520.0,79,2421.34,152,121,14,3
12521.0,143,564.73,38,38,8,0
12522.0,39,184.84,12,11,6,2
12523.0,19,1663.73,106,84,15,3
12524.0,9,3580.59,144,113,16,3
12526.0,1,1224.52,71,64,13,1
12527.0,82,339.21000000000004,18,18,8,0
12528.0,9,1686.93,92,50,14,3
12530.0,60,1445.98,66,51,11,1
12531.0,15,103.77,17,17,8,0
12532.0,30,331.55,16,16,7,0
12534.0,131,1004.53,63,63,11,1
12535.0,92,712.75,34,28,9,5
12536.0,43,4190.35,261,260,15,3
12538.0,29,358.15,21,21,9,5
12539.0,22,5144.400000000001,273,157,15,3
12540.0,20,11573.38,478,277,15,3
12541.0,30,878.8,52,46,12,1
12544.0,36,333.7,19,19,9,5
12545.0,75,874.42,50,42,11,1
12546.0,47,1060.7,69,59,12,1
12547.0,198,168.79999999999998,8,7,4,4
12548.0,166,75.69999999999999,5,5,4,4
12550.0,79,873.56,57,57,11,1
12551.0,358,168.0,10,10,4,4
12552.0,39,316.96999999999997,20,20,9,5
12553.0,8,3431.7400000000002,191,95,16,3
12556.0,50,589.28,119,100,13,1
12557.0,16,2555.4,33,15,11,1
12558.0,8,269.96,11,11,7,0
12559.0,311,537.33,21,21,7,0
12560.0,5,2001.72,105,91,16,3
12561.0,303,238.85,16,16,4,4
12562.0,8,3362.34,168,99,16,3
12564.0,261,403.05,21,21,7,0
12565.0,289,145.92,9,9,4,4
12566.0,86,313.75,19,19,8,0
12567.0,23,8662.08,446,323,15,3
12569.0,2,3585.73,188,92,16,3
12571.0,40,527.89,34,31,9,5
12572.0,9,923.6700000000001,60,53,13,1
12573.0,227,159.09,28,26,6,2
12574.0,316,196.55,11,11,4,4
12576.0,36,1275.15,88,72,12,1
12577.0,35,628.37,146,137,14,3
12578.0,21,2491.46,114,111,15,3
12579.0,78,403.42,29,29,8,0
12580.0,247,396.7,24,24,7,0
12581.0,40,186.76,15,15,6,2
12582.0,239,378.15999999999997,22,21,7,0
12583.0,3,6616.3099999999995,247,115,16,3
12584.0,4,2094.1,96,44,14,3
12585.0,234,1765.81,87,77,11,1
12586.0,17,202.24,11,11,7,0
12587.0,8,112.5,4,4,7,0
12588.0,39,164.65,10,10,6,2
12589.0,29,570.28,35,29,9,5
12590.0,211,5820.64,68,68,11,1
12591.0,317,390.0,26,26,7,0
12592.0,92,418.6,18,11,7,0
12593.0,109,399.09999999999997,21,14,7,0
12594.0,38,3188.05,118,50,14,3
12596.0,51,466.09,27,25,9,5
12597.0,19,3273.21,206,184,15,3
12598.0,10,2865.0299999999997,132,84,16,3
12599.0,29,931.38,62,32,11,1
12600.0,29,2387.1600000000003,64,32,12,1
12601.0,190,498.11,28,21,7,0
12602.0,59,146.22,12,12,5,2
12603.0,22,365.5,2,2,7,0
12604.0,79,244.68,16,15,5,2
12607.0,60,1571.06,101,101,14,3
12609.0,78,1049.75,60,57,11,1
12610.0,23,1756.84,106,85,15,3
12611.0,52,1071.22,65,65,11,1
12612.0,74,686.12,19,19,9,5
12613.0,57,3196.76,153,124,14,3
12614.0,278,308.35,20,20,7,0
12615.0,2,2060.87,105,82,16,3
12616.0,95,663.7,32,25,9,5
12617.0,29,352.42,41,39,10,5
12618.0,22,145.81,11,11,6,2
12619.0,16,1928.74,90,50,14,3
12620.0,15,1325.16,92,89,14,3
12621.0,2,11364.74,467,261,16,3
12622.0,232,157.85,11,11,4,4
12623.0,276,286.1,18,18,7,0
12624.0,106,598.88,38,36,9,5
12625.0,212,2451.92,86,73,11,1
12626.0,23,6107.49,294,232,15,3
12627.0,11,4278.78,230,162,16,3
12628.0,4,752.96,41,34,11,1
12630.0,10,1060.7,64,60,13,1
12631.0,57,514.5,31,31,8,0
12633.0,59,1863.8600000000001,101,73,13,1
12635.0,90,1612.89,101,96,14,3
12637.0,67,5815.15,382,205,14,3
12638.0,33,554.09,39,39,10,5
12639.0,239,383.7,22,22,7,0
12640.0,24,1013.9300000000001,53,47,12,1
12641.0,115,154.4,10,10,5,2
12642.0,25,922.95,47,39,12,1
12643.0,128,1361.72,24,11,8,0
12644.0,130,474.74,31,31,8,0
12645.0,34,1699.18,73,58,13,1
12646.0,5,1221.6200000000001,45,43,13,1
12647.0,22,2918.23,121,78,15,3
12648.0,155,306.3,21,21,7,0
12649.0,107,626.51,31,28,9,5
12650.0,3,293.0,20,20,10,5
12651.0,335,114.0,9,9,4,4
12652.0,331,845.62,48,48,10,5
12653.0,149,1965.77,43,37,11,1
12654.0,11,558.83,38,31,10,5
12656.0,17,3329.17,126,89,16,3
12657.0,11,1208.48,47,35,12,1
12658.0,19,653.3,36,36,11,1
12659.0,30,69.22,5,5,6,2
12660.0,11,235.6,13,13,7,0
12662.0,1,3671.01,230,129,16,3
